,lesion,malaise,lethargy,acute episodes,bleeding from anus,dehydration,leaking of urine,mental confusion,sadness,grinding teeth,self-neglect,bad taste in mouth,hallucinations,diogenes syndrome,choking,shaking,watery eyes,thick saliva,metallic taste in mouth,bloating,tenderness to touch,fits of rage,pain when moving eyes,taste of acid in mouth,spasms,vision loss,restless,sore tongue,cloudy vision,compulsive behavior,loss of balance,nosebleed,cracks at corner of mouth,ringing in ears,tightness,low libido,change in stools,short attention span,joint instability,difficulty finding words,heaviness,bloody sputum,heartburn,spots on tonsils,hearing loss,mucus,burning urination,grooved tongue,difficulty talking,heavy menstrual bleeding,late menstrual period,bulge,early morning waking,tiredness,feeling faint,gum sores,loss of smell,belching,furry tongue,damaged teeth enamel,post nasal drip,frightening dreams,hoarse voice,inability to exercise,poor hygiene,delusions,swollen tonsils,jaundice,ear ache,sore throat,agitation,constipation,numbness,abdominal pain,nausea,back pain,chill,wheezing,drowsiness,labored breathing,fatigue,fever,diarrhea,dizziness,urinary urgency,shortness of breath,palpitation,aggression,bleeding,blurred vision,bruising,confusion,phlegm,dark urine,disorientation,drooping eyelid,dry mouth,dry skin,elbow pain,skin rash,fainting,fast heart rate,leg pain,loss of appetite,low blood pressure,nasal congestion,pelvic pain,runny nose,shoulder pain,urinary retention,vaginal discharge,easy bruising,mouth sores,dry eyes,loss of speech,cold feet,decreased appetite,swollen lymph nodes,tingling,involuntary movements,bitter almond odor on breath,rectal incontinence,bleeding gums,swollen tongue,mood swings,excessive sweating,morning stiffness,bad breath,difficulty urinating,stiff neck,cloudy urine with strong odor,hot flashes,cold hands,skin bumps,hair loss,discharge from penis,warm to touch face,sweat,distended stomach,weight loss,muscle twitch,tremor,fall,bleeding of vagina,cough,pain chest,muscle cramps,muscle pain,testicle pain,joint pain,vomiting,enlarged  pupils,painful intercourse,red  eyes,shaking hands,swollen lips,headache,red spots on the skin,swollen glands,memory loss,bulging veins,white patches on tongue,difficulty swallowing,weakness,difficulty concentrate,seizures,broken bone,missed menstrual period,increased thirst,abnormal gait,restless  legs,!lesion,!malaise,!lethargy,!acute episodes,!bleeding from anus,!dehydration,!leaking of urine,!mental confusion,!sadness,!grinding teeth,!self-neglect,!bad taste in mouth,!hallucinations,!diogenes syndrome,!choking,!shaking,!watery eyes,!thick saliva,!metallic taste in mouth,!bloating,!tenderness to touch,!fits of rage,!pain when moving eyes,!taste of acid in mouth,!spasms,!vision loss,!restless,!sore tongue,!cloudy vision,!compulsive behavior,!loss of balance,!nosebleed,!cracks at corner of mouth,!ringing in ears,!tightness,!low libido,!change in stools,!short attention span,!joint instability,!difficulty finding words,!heaviness,!bloody sputum,!heartburn,!spots on tonsils,!hearing loss,!mucus,!burning urination,!grooved tongue,!difficulty talking,!heavy menstrual bleeding,!late menstrual period,!bulge,!early morning waking,!tiredness,!feeling faint,!gum sores,!loss of smell,!belching,!furry tongue,!damaged teeth enamel,!post nasal drip,!frightening dreams,!hoarse voice,!inability to exercise,!poor hygiene,!delusions,!swollen tonsils,!jaundice,!ear ache,!sore throat,!agitation,!constipation,!numbness,!abdominal pain,!nausea,!back pain,!chill,!wheezing,!drowsiness,!labored breathing,!fatigue,!fever,!diarrhea,!dizziness,!urinary urgency,!shortness of breath,!palpitation,!aggression,!bleeding,!blurred vision,!bruising,!confusion,!phlegm,!dark urine,!disorientation,!drooping eyelid,!dry mouth,!dry skin,!elbow pain,!skin rash,!fainting,!fast heart rate,!leg pain,!loss of appetite,!low blood pressure,!nasal congestion,!pelvic pain,!runny nose,!shoulder pain,!urinary retention,!vaginal discharge,!easy bruising,!mouth sores,!dry eyes,!loss of speech,!cold feet,!decreased appetite,!swollen lymph nodes,!tingling,!involuntary movements,!bitter almond odor on breath,!rectal incontinence,!bleeding gums,!swollen tongue,!mood swings,!excessive sweating,!morning stiffness,!bad breath,!difficulty urinating,!stiff neck,!cloudy urine with strong odor,!hot flashes,!cold hands,!skin bumps,!hair loss,!discharge from penis,!warm to touch face,!sweat,!distended stomach,!weight loss,!muscle twitch,!tremor,!fall,!bleeding of vagina,!cough,!pain chest,!muscle cramps,!muscle pain,!testicle pain,!joint pain,!vomiting,!enlarged  pupils,!painful intercourse,!red  eyes,!shaking hands,!swollen lips,!headache,!red spots on the skin,!swollen glands,!memory loss,!bulging veins,!white patches on tongue,!difficulty swallowing,!weakness,!difficulty concentrate,!seizures,!broken bone,!missed menstrual period,!increased thirst,!abnormal gait,!restless  legs,Sum,Age18-35,Age35-55,Age55+,Female,Male,%-%nosebleed%-%Low%-%,%-%nosebleed%-%Medium%-%,%-%nosebleed%-%Strong%-%,%-%abdominal pain%-%Low%-%,%-%abdominal pain%-%Medium%-%,%-%abdominal pain%-%Strong%-%,%-%back pain%-%Low%-%,%-%back pain%-%Medium%-%,%-%back pain%-%Strong%-%,%-%elbow pain%-%Low%-%,%-%elbow pain%-%Medium%-%,%-%elbow pain%-%Strong%-%,%-%leg pain%-%Low%-%,%-%leg pain%-%Medium%-%,%-%leg pain%-%Strong%-%,%-%pelvic pain%-%Low%-%,%-%pelvic pain%-%Medium%-%,%-%pelvic pain%-%Strong%-%,%-%shoulder pain%-%Low%-%,%-%shoulder pain%-%Medium%-%,%-%shoulder pain%-%Strong%-%,%-%pain chest%-%Low%-%,%-%pain chest%-%Medium%-%,%-%pain chest%-%Strong%-%,%-%muscle pain%-%Low%-%,%-%muscle pain%-%Medium%-%,%-%muscle pain%-%Strong%-%,%-%testicle pain%-%Low%-%,%-%testicle pain%-%Medium%-%,%-%testicle pain%-%Strong%-%,%-%joint pain%-%Low%-%,%-%joint pain%-%Medium%-%,%-%joint pain%-%Strong%-%,%-%headache%-%Low%-%,%-%headache%-%Medium%-%,%-%headache%-%Strong%-%
herpes simplex infections,1,1,1,1,1,1,1,1,1,761,1,1,1,1,1,1,1,545,1,1,771,1,1,1,1,1,1,1,1,1,1,1,875,1,1,1,1,1,1,1,1,1,1,755,1,510,1,515,1,1,1,748,1,1,1,722,1,1,817,1,1,1,843,1,1,1,869,1,1,1,1,1,1,1,1,577,1,1,1,1,1,1,1,1,1,1,1,1,618,1,1,1,1,1,1,1,526,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,536,1,1,1,1,1,1,1,1,1,567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,770,1,596,1,1,1,586,831,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,239,999,999,999,999,999,999,999,455,999,999,229,999,999,999,999,999,999,999,999,999,999,999,125,999,999,999,999,999,999,999,999,999,999,245,999,490,999,485,999,999,999,252,999,999,999,278,999,999,183,999,999,999,157,999,999,999,131,999,999,999,999,999,999,999,999,423,999,999,999,999,999,999,999,999,999,999,999,999,382,999,999,999,999,999,999,999,474,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,464,999,999,999,999,999,999,999,999,999,433,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,230,999,404,999,999,999,414,169,999,999,999,999,999,999,999,999,897,218,130,549,530,367,1,1,1,1,1,1,222,143,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hiv/aids,701,475,496,1,1,1,1,517,520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,680,1,591,733,1,520,1,1,1,471,662,415,1,1,732,1,1,1,1,1,557,525,1,1,1,1,1,1,402,1,1,598,1,539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,624,1,638,1,1,1,1,1,410,1,1,1,1,1,1,1,1,1,1,1,454,774,1,693,1,1,1,1,1,299,525,504,999,999,999,999,483,480,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,320,999,409,267,999,480,999,999,999,529,338,585,999,999,268,999,999,999,999,999,443,475,999,999,999,999,999,999,598,999,999,402,999,461,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,376,999,362,999,999,999,999,999,590,999,999,999,999,999,999,999,999,999,999,999,546,226,999,307,999,999,999,999,999,788,107,113,568,348,440,1,1,1,183,106,302,1,1,1,1,1,1,98,165,335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
inflammatory breast cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,461,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,853,170,133,550,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kawasaki disease,1,1,1,1,1,1,1,1,1,608,1,1,1,1,1,1,1,416,637,1,1,1,1,446,1,1,1,1,1,1,1,1,624,1,1,1,1,1,1,1,1,1,1,1,1,544,1,1,1,1,1,672,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,406,1,1,1,1,1,1,689,1,502,1,1,1,1,1,1,1,1,428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,593,1,674,428,1,1,1,512,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,392,999,999,999,999,999,999,999,584,363,999,999,999,999,554,999,999,999,999,999,999,999,999,376,999,999,999,999,999,999,999,999,999,999,999,999,456,999,999,999,999,999,328,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,594,999,999,999,999,999,999,311,999,498,999,999,999,999,999,999,999,999,572,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,299,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,520,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,407,999,326,572,999,999,999,488,999,999,999,999,999,999,999,999,720,161,84,475,309,411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lung cancer,660,731,730,1,1,764,1,485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,700,1,1,1,1,1,1,1,1,1,1,1,651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,747,1,1,601,619,813,636,1,1,786,737,1,1,1,797,1,1,1,1,1,649,457,1,1,1,1,1,1,457,1,489,1,1,1,1,1,1,606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,447,1,1,1,1,696,860,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,657,740,1,1,1,1,1,1,1,340,269,270,999,999,236,999,515,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,300,999,999,999,999,999,999,999,999,999,999,999,349,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,253,999,999,399,381,187,364,999,999,214,263,999,999,999,203,999,999,999,999,999,351,543,999,999,999,999,999,999,543,999,511,999,999,999,999,999,999,394,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,553,999,999,999,999,304,140,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,343,260,999,999,999,999,999,999,999,872,205,132,535,358,514,1,1,1,1,1,1,153,72,394,1,1,1,1,1,1,1,1,1,191,64,351,289,205,366,1,1,1,1,1,1,1,1,1,1,1,1
malaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,502,1,1,1,1,1,1,528,1,420,1,1,1,1,816,457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,500,1,1,601,1,1,700,1,1,1,1,1,716,1,1,1,1,1,1,786,1,618,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,498,999,999,999,999,999,999,472,999,580,999,999,999,999,184,543,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,500,999,999,399,999,999,300,999,999,999,999,999,284,999,999,999,999,999,999,214,999,382,999,999,999,999,999,827,176,97,554,500,327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,112,79,410,1,1,1,1,1,1,276,115,325
osteoarthritis,1,1,1,1,1,1,835,1,481,1,1,1,1,1,1,1,803,1,814,714,737,1,442,1,827,1,714,688,1,1,544,637,1,668,564,1,1,1,525,1,673,1,685,1,1,1,1,1,1,1,690,769,1,1,1,1,1,1,1,460,790,1,606,1,1,1,709,1,827,657,1,487,767,532,752,582,631,1,1,1,455,1,775,645,454,1,1,1,1,465,620,698,1,1,1,1,654,483,787,704,1,1,576,1,776,1,1,1,525,1,825,626,646,1,717,505,1,1,453,526,1,1,1,1,1,856,851,1,1,508,618,546,449,1,657,1,585,688,577,585,776,544,1,1,734,1,818,1,1,593,786,1,752,1,437,1,1,1,812,1,629,1,1,537,744,1,676,825,480,1,690,999,999,999,999,999,999,165,999,519,999,999,999,999,999,999,999,197,999,186,286,263,999,558,999,173,999,286,312,999,999,456,363,999,332,436,999,999,999,475,999,327,999,315,999,999,999,999,999,999,999,310,231,999,999,999,999,999,999,999,540,210,999,394,999,999,999,291,999,173,343,999,513,233,468,248,418,369,999,999,999,545,999,225,355,546,999,999,999,999,535,380,302,999,999,999,999,346,517,213,296,999,999,424,999,224,999,999,999,475,999,175,374,354,999,283,495,999,999,547,474,999,999,999,999,999,144,149,999,999,492,382,454,551,999,343,999,415,312,423,415,224,456,999,999,266,999,182,999,999,407,214,999,248,999,563,999,999,999,188,999,371,999,999,463,256,999,324,175,520,999,310,868,245,90,533,461,407,230,83,324,76,110,346,175,81,326,107,235,445,92,101,383,1,1,1,55,156,314,1,1,1,1,1,1,1,1,1,218,164,211,1,1,1
ovarian cancer,1,1,682,1,1,855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,514,1,874,776,611,489,1,1,1,531,492,655,1,1,651,1,1,1,1,1,1,1,1,1,1,1,1,1,669,1,1,1,1,1,1,762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,607,1,1,1,1,755,1,1,883,1,1,1,491,1,583,1,1,1,1,1,1,1,1,1,1,679,1,1,1,1,1,1,1,999,999,318,999,999,145,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,373,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,486,999,126,224,389,511,999,999,999,469,508,345,999,999,349,999,999,999,999,999,999,999,999,999,999,999,999,999,331,999,999,999,999,999,999,238,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,393,999,999,999,999,245,999,999,117,999,999,999,509,999,417,999,999,999,999,999,999,999,999,999,999,321,999,999,999,999,999,999,999,904,119,122,663,552,352,1,1,1,110,155,609,206,78,327,1,1,1,1,1,1,129,140,493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
polymyalgia rheumatica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,900,1,1,1,1,747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,923,1,583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,663,1,1,1,1,662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,737,1,1,1,1,1,1,664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,586,1,1,1,1,1,1,1,1,1,541,1,1,1,1,1,1,1,609,1,850,1,1,1,1,1,1,496,1,1,1,1,1,1,774,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,100,999,999,999,999,253,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,77,999,417,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,337,999,999,999,999,338,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,263,999,999,999,999,999,999,336,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,414,999,999,999,999,999,999,999,999,999,459,999,999,999,999,999,999,999,391,999,150,999,999,999,999,999,999,504,999,999,999,999,999,999,226,999,999,999,999,999,999,999,926,249,240,437,455,471,1,1,1,1,1,1,81,177,405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91,93,425,1,1,1,303,212,335,193,138,165
rheumatic fever,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,438,1,1,1,1,1,1,404,1,1,1,1,624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,525,789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,777,1,1,1,1,1,1,1,1,1,1,784,1,1,1,1,1,1,1,1,1,1,1,1,1,607,1,1,1,1,1,1,1,1,636,1,1,1,1,1,1,1,1,1,1,462,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,414,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,562,999,999,999,999,999,999,596,999,999,999,999,376,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,475,211,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,223,999,999,999,999,999,999,999,999,999,999,216,999,999,999,999,999,999,999,999,999,999,999,999,999,393,999,999,999,999,999,999,999,999,364,999,999,999,999,999,999,999,999,999,999,538,999,999,999,999,999,999,999,999,999,999,800,234,162,404,344,456,1,1,1,1,1,1,1,1,1,80,62,383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,187,385,1,1,1
stomach flu,1,744,537,464,1,457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,628,1,754,522,524,715,1,1,1,450,724,727,727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,554,1,399,612,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,581,436,1,1,608,1,1,1,1,1,555,1,1,1,1,1,1,763,1,1,1,1,1,1,1,999,256,463,536,999,543,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,372,999,246,478,476,285,999,999,999,550,276,273,273,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,446,999,601,388,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,419,564,999,999,392,999,999,999,999,999,445,999,999,999,999,999,999,237,999,999,999,999,999,999,999,773,202,204,367,302,471,1,1,1,231,177,346,133,137,254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94,115,227,1,1,1,1,1,1,121,115,319
swine flu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,736,1,1,1,1,529,1,760,1,1,1,570,509,770,1,1,813,1,1,1,1,1,1,1,1,1,1,1,1,1,553,1,1,1,1,1,795,1,528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,825,1,1,1,1,1,573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,333,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,264,999,999,999,999,471,999,240,999,999,999,430,491,230,999,999,187,999,999,999,999,999,999,999,999,999,999,999,999,999,447,999,999,999,999,999,205,999,472,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,175,999,999,999,999,999,427,999,999,999,999,999,999,999,999,999,999,999,999,999,999,941,259,113,569,500,441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166,163,244
trichomoniasis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,611,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,778,1,1,1,1,600,898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,267,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,389,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,222,999,999,999,999,400,102,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,123,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,926,234,203,489,366,560,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yellow fever,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,530,1,1,1,1,1,509,472,923,595,1,1,1,1,830,1,1,1,1,1,1,1,1,1,662,1,1,1,1,1,1,1,1,1,1,1,634,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,518,1,1,1,1,1,744,1,1,1,1,1,1,871,1,604,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,470,999,999,999,999,999,491,528,77,405,999,999,999,999,170,999,999,999,999,999,999,999,999,999,338,999,999,999,999,999,999,999,999,999,999,999,366,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,74,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,482,999,999,999,999,999,256,999,999,999,999,999,999,129,999,396,999,999,999,999,999,929,254,203,472,588,341,1,1,1,133,52,324,336,263,324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,131,159,454
